Provnce,Health region,Hospital name,Type of hospital,Teaching status,Intensive Care,Obstetrics,Pediatrics,Mental Health and Addictions ,Rehabilitation,Long-Term Care,Other Acute
SK,Prince Albert Parkland Health Region,Victoria Hospital,G,Non-Teaching,8,13,14,10,,,99
SK,Regina Qu’Appelle Health Region,Balcarres Integrated Care Centre,G,Non-Teaching,,,,,,,
SK,Regina Qu’Appelle Health Region,Broadview Union Hospital,G,Non-Teaching,,,,,,,16
SK,Regina Qu’Appelle Health Region,Indian Head Hospital,G,Non-Teaching,,,,,,,15
SK,Regina Qu’Appelle Health Region,Pasqua Hospital,"G,S-Ped",Teaching,6,,,,,24,243
SK,Regina Qu’Appelle Health Region,Regina General Hospital,"G,S-Psy,S-Ped",Teaching,31,36,26,60,,,315
SK,Regina Qu’Appelle Health Region,Southeast Integrated Care Centre  Moosomin,G,Non-Teaching,,,,,,,27
SK,Regina Qu’Appelle Health Region,St. Joseph’s Integrated Care Centre,G,Non-Teaching,,,,,,,
SK,Regina Qu’Appelle Health Region,Wascana Rehabilitation Centre,R,Non-Teaching,,,,,45,,
SK,Regina Qu’Appelle Health Region,Wolseley Memorial Integrated Care Centre,G,Non-Teaching,,,,,,,10
SK,Saskatoon Health Region,Emmanuel Health  St. Paul’s Hospital,"G,S-Oth",Teaching,10,,,,,,234
SK,Saskatoon Health Region,Humboldt District Hospital,"G,S-Oth",Non-Teaching,,,,,,,38
SK,Saskatoon Health Region,Lanigan Hospital,"G,E",Non-Teaching,,,,,,,10
SK,Saskatoon Health Region,Rosthern Hospital,G,Non-Teaching,,,,,,,19
SK,Saskatoon Health Region,Royal University Hospital,"G,S-Psy,S-Oth,S-Ped",Teaching,30,62,42,64,,,233
SK,Saskatoon Health Region,Saskatoon City Hospital,"G,R,S-Oth",Teaching,,,,,35,30,103
SK,Saskatoon Health Region,Wadena Hospital,"G,E",Non-Teaching,,,,,,,20
SK,Saskatoon Health Region,Watrous Hospital,G,Non-Teaching,,,,,,,8
SK,Saskatoon Health Region,Wynyard Integrated Hospital,G,Non-Teaching,,,,,,,8
SK,Sun Country Health Region,Arcola Health Centre,G,Non-Teaching,,,,,,,12
SK,Sun Country Health Region,Emmanuel Health  St. Joseph’s Hospital [Estevan],G,Non-Teaching,,,,,,,53
SK,Sun Country Health Region,Kipling Integrated Health Centre,G,Non-Teaching,,,,,,,12
SK,Sun Country Health Region,Redvers Health Centre,G,Non-Teaching,,,,,,,5
SK,Sun Country Health Region,Weyburn General Hospital,G,Non-Teaching,5,,,,,,35
SK,Sunrise Health Region,Canora Hospital,G,Non-Teaching,,,,,,,16
SK,Sunrise Health Region,Emmanuel Health  St. Anthony’s Hospital,G,Non-Teaching,,,,,,,22
SK,Sunrise Health Region,Emmanuel Health  St. Peter’s Hospital [Melville],G,Non-Teaching,,,,,,,30
SK,Sunrise Health Region,Kamsack Hospital and Nursing Home,G,Non-Teaching,,,,,,,20
SK,Sunrise Health Region,Preeceville and District Health Centre,G,Non-Teaching,,,,,,,10
SK,Sunrise Health Region,Yorkton Regional Health Centre,"G,S-Psy,S-Ped",Non-Teaching,6,14,13,,,,54
YT,Yukon,Dawson City Community Hospital,G,Non-Teaching,,,,,,,6
YT,Yukon,Watson Lake Community Hospital,G,Non-Teaching,,,,,,,6
YT,Yukon,Whitehorse General Hospital,G,Non-Teaching,,,,,,,55
